Complaint No,Customer ID,Customer Name,Complaint Description,Complaint Type,Equipment Type,Priority Type,Complaint Date,Assigned Date,WIPDate Time,WIPAge,Close Date,Vendor Name,Resolution Type,Complaint Age,PORelease Date,PORelease Age,Material Delivery Date,MTDAge,Work Closer Date,Comment Date,Comments,WIP Vendor Enginner  log Date,WEAge
MAFIL_477761,0501,CHERUKUNNU,Alarm panel not in network // DSR log,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 00:38:43,04/03/2023 10:19:00,,,04/03/2023 10:19:00,MX Electronics Pvt Ltd,close,0,,,,,,04/03/2023 10:19:00,517132040304 Closed BH 377051 // lan cable reconnected,,
MAFIL_477762,0501,CHERUKUNNU,Entrance camera not in network //DSR log,Entrance Camera Not In network,CCTV,Class B,04/01/2023 00:43:17,04/03/2023 10:21:58,,,04/03/2023 10:21:58,MX Electronics Pvt Ltd,close,0,,,,,,04/03/2023 10:21:58,517132040305 Closed BH 377051 // lan cable reconnected // pending ticket MAFIL_479764,,
MAFIL_477763,0230,SAIBABA COLONY,Outside camera not in network //DSR log,OutSide Camera Not In network,CCTV,Class B,04/01/2023 00:49:05,04/03/2023 17:05:18,,,04/04/2023 15:41:40,Zubaid Infotech,close,0,,,,,,04/04/2023 15:41:40,812907040437  lan cable reconnected \ bh 367249,,
MAFIL_477764,0865,RAMASWAMY PALAYAM,Entrance camera not in network //DSR log,Entrance Camera Not In network,CCTV,Class B,04/01/2023 00:51:53,04/03/2023 17:06:12,,,04/08/2023 12:46:10,CHUBB SYSTEMS PRIVATE LIMITED,close,0,,,,,,04/08/2023 12:46:10,703482080419  BH 349776//  power adapter replaced,,
MAFIL_477765,1255,BELTHANGADY,Alarm Panel Not In network//DSR log,Alarm Panel Not In network,Alarm Panel,Class A,04/01/2023 00:54:48,04/04/2023 10:22:25,,,04/10/2023 11:45:41,CHUBB SYSTEMS PRIVATE LIMITED,close,6,,,,,,04/10/2023 11:45:41,516122100412  BH 45636 alarm panel lan cable reconnected.,,
MAFIL_477766,0113,NORTH PARK STREET AMBATTUR OT,Center camera not in network //DSR log,Center Camera Not In network,CCTV,Class B,04/01/2023 00:57:25,04/03/2023 17:06:56,,,04/04/2023 16:17:37,Zubaid Infotech,close,0,,,,,,04/04/2023 16:17:37,516953040409 Closed BH371918// network cable reconnected now cam 3 in network,,
MAFIL_477767,0982,SYAM NAGAR,Safe  camera not in network //DSR log,Safe Camera is not working,CCTV,Class A,04/01/2023 01:06:11,04/04/2023 10:10:04,,,04/05/2023 14:08:30,Techsis Ltd,close,1,,,,,,04/05/2023 14:08:30,513507050402 Closed lan cable issue resolved,,
MAFIL_477768,2778,AVENUE ROAD KGF,Center camera not in network //DSR log,Center Camera Not In network,CCTV,Class B,04/01/2023 01:29:55,04/03/2023 09:14:12,,,04/10/2023 14:45:31,CHUBB SYSTEMS PRIVATE LIMITED,close,0,,,,,,04/10/2023 14:45:31,812907041008 Closed adapter replaced  | bh 360000,,
MAFIL_477769,3344,"BHATLI CHOWK,BARGARH,ORISSA",Safe  camera not in network //DSR log,Safe Camera is not working,CCTV,Class A,04/01/2023 01:36:25,04/03/2023 09:15:03,,,04/03/2023 15:27:40,Zubaid Infotech,close,0,,,,,,04/03/2023 15:27:40,812907040346  lan cable reconnected \ Abh 383129,,
MAFIL_477770,2957,MANGALAVARPET,Safe  camera not in network //DSR log,Safe Camera is not working,CCTV,Class A,04/01/2023 02:18:16,04/03/2023 09:15:59,,,04/05/2023 16:13:00,CHUBB SYSTEMS PRIVATE LIMITED,close,2,,,,,,04/05/2023 16:13:00,703482050434   bh 384216// adapter replaced,,
MAFIL_477771,1137,"NGO COLONY ,CUDDAPAH",Entrance camera not in network //DSR log,Entrance Camera Not In network,CCTV,Class B,04/01/2023 02:22:19,04/03/2023 17:07:32,,,04/06/2023 11:49:00,Enseigner Pvt Ltd,close,0,,,,,,04/06/2023 11:49:00,703482060408  BH 384239// camera reboted & reconfigured,,
MAFIL_477772,2503,PR MARG AJMEER,Center camera not in network //DSR log,Center Camera Not In network,CCTV,Class B,04/01/2023 02:25:34,04/04/2023 10:23:23,,,04/05/2023 11:35:25,Techsis Ltd,close,0,,,,,,04/05/2023 11:35:25,703482050413  ABH 680125//wire reconected,,
MAFIL_477773,3546,DAUSA RAJASTHAN,Safe  camera not in network //DSR log,Safe Camera is not working,CCTV,Class A,04/01/2023 03:21:35,04/03/2023 09:16:32,,,04/03/2023 10:39:21,Techsis Ltd,close,0,,,,,,04/03/2023 10:39:21,812907040311  safe camcable reconnected \  bh 364915,,
MAFIL_477774,3787,RAYAGADA,Safe  camera not in network //DSR log,Safe Camera is not working,CCTV,Class A,04/01/2023 03:24:17,04/03/2023 09:19:44,,,04/05/2023 09:48:30,Zubaid Infotech,close,2,,,,,,04/05/2023 09:48:30,516122050401  BH 379634 safe camera adapter changed.,,
MAFIL_477775,0122,MYSORE ROAD PUTTUR,Entrance Camera Position Issue,Entrance Camera Position Issue,CCTV,Class B,04/01/2023 09:53:10,04/04/2023 09:43:03,,,04/10/2023 15:24:17,CHUBB SYSTEMS PRIVATE LIMITED,close,5,,,,,,04/10/2023 15:24:17,mafil closed \\ complaint already in project were added,,
